accountId,bank,accountType,balance,latitude,longitude
acc056,BankK,BUSINESS,75205,55.75,37.62
acc057,BankZ,PREPAID,90463,40.71,-74.01
acc058,BankB,PERSONAL,83074,55.75,37.62
acc059,BankA,PERSONAL,21707,55.75,37.62
acc060,BankO,PERSONAL,57072,51.51,-0.13
acc061,BankW,BUSINESS,86196,35.68,139.69
acc062,BankF,PREPAID,13234,52.52,13.4
acc063,BankI,PERSONAL,49738,48.85,2.35
acc064,BankB,MERCHANT,82999,35.68,139.69
acc065,BankX,BUSINESS,57260,34.05,-118.24
acc066,BankW,PERSONAL,1142,51.51,-0.13
acc067,BankP,PERSONAL,18393,-6.21,106.85
acc068,BankH,MERCHANT,2217,40.71,-74.01
acc069,BankW,PREPAID,16806,37.77,-122.42
acc070,BankW,BUSINESS,63613,34.05,-118.24
acc071,BankH,MERCHANT,12708,34.05,-118.24
acc072,BankD,PREPAID,49177,35.68,139.69
acc073,BankE,MERCHANT,99717,48.85,2.35
acc074,BankU,BUSINESS,9966,28.61,77.2
acc075,BankS,PERSONAL,80995,48.85,2.35
acc076,BankO,PREPAID,95690,51.51,-0.13
acc077,BankU,BUSINESS,54963,-6.21,106.85
acc078,BankV,MERCHANT,29474,34.05,-118.24
acc079,BankD,BUSINESS,99624,34.05,-118.24
acc080,BankS,MERCHANT,47076,37.77,-122.42
acc081,BankK,BUSINESS,33477,35.68,139.69
acc082,BankU,PERSONAL,33527,28.61,77.2
acc083,BankT,PREPAID,91502,40.71,-74.01
acc084,BankV,PREPAID,27928,28.61,77.2
acc085,BankT,BUSINESS,99021,37.77,-122.42
acc086,BankJ,PERSONAL,32370,55.75,37.62
acc087,BankM,PERSONAL,32599,55.75,37.62
acc088,BankU,PERSONAL,70243,40.71,-74.01
acc089,BankL,PREPAID,18299,37.77,-122.42
acc090,BankS,MERCHANT,48895,28.61,77.2
acc091,BankV,BUSINESS,62736,34.05,-118.24
acc092,BankA,PERSONAL,2807,35.68,139.69
acc093,BankG,PERSONAL,8925,37.77,-122.42
acc094,BankQ,PREPAID,83388,28.61,77.2
acc095,BankY,MERCHANT,56518,37.77,-122.42
acc096,BankC,BUSINESS,37368,34.05,-118.24
acc097,BankJ,PERSONAL,68017,51.51,-0.13
acc098,BankZ,BUSINESS,71305,52.52,13.4
acc099,BankM,PERSONAL,41654,37.77,-122.42
acc100,BankX,BUSINESS,8589,51.51,-0.13
acc101,BankC,MERCHANT,16202,55.75,37.62
acc102,BankT,PERSONAL,41539,48.85,2.35
acc103,BankD,PERSONAL,93785,48.85,2.35
acc104,BankW,PERSONAL,22473,55.75,37.62
acc105,BankL,PREPAID,22884,52.52,13.4
acc106,BankE,PREPAID,97067,34.05,-118.24
acc107,BankY,PERSONAL,44910,37.77,-122.42
acc108,BankI,PERSONAL,35465,-6.21,106.85
acc109,BankU,PERSONAL,66031,55.75,37.62
acc110,BankQ,PREPAID,8266,55.75,37.62
acc111,BankS,BUSINESS,49193,48.85,2.35
acc112,BankI,PERSONAL,76223,34.05,-118.24
acc113,BankH,PERSONAL,6772,40.71,-74.01
acc114,BankH,PERSONAL,62835,52.52,13.4
acc115,BankM,BUSINESS,24456,40.71,-74.01
acc116,BankR,MERCHANT,30427,52.52,13.4
acc117,BankH,MERCHANT,95409,52.52,13.4
acc118,BankI,PERSONAL,75912,52.52,13.4
acc119,BankD,PERSONAL,24507,51.51,-0.13
acc120,BankZ,PERSONAL,53550,34.05,-118.24
acc121,BankO,PREPAID,41723,52.52,13.4
acc122,BankC,MERCHANT,2044,52.52,13.4
acc123,BankG,PREPAID,74899,35.68,139.69
acc124,BankX,BUSINESS,61807,52.52,13.4
acc125,BankS,MERCHANT,26614,28.61,77.2
acc126,BankY,BUSINESS,20735,40.71,-74.01
acc127,BankN,PERSONAL,31539,28.61,77.2
acc128,BankL,PERSONAL,44911,40.71,-74.01
acc129,BankY,MERCHANT,97741,35.68,139.69
acc130,BankD,BUSINESS,70443,51.51,-0.13
acc131,BankN,MERCHANT,8850,48.85,2.35
acc132,BankW,PREPAID,13193,40.71,-74.01
acc133,BankH,MERCHANT,92861,52.52,13.4
acc134,BankO,PERSONAL,77122,34.05,-118.24
acc135,BankQ,BUSINESS,84521,37.77,-122.42
acc136,BankC,PERSONAL,58014,48.85,2.35
acc137,BankH,PREPAID,35208,52.52,13.4
acc138,BankZ,MERCHANT,92845,52.52,13.4
acc139,BankK,MERCHANT,36645,51.51,-0.13
acc140,BankC,BUSINESS,18840,-6.21,106.85
acc141,BankD,BUSINESS,14848,48.85,2.35
acc142,BankO,MERCHANT,42160,37.77,-122.42
acc143,BankD,PREPAID,28215,55.75,37.62
acc144,BankJ,MERCHANT,35735,34.05,-118.24
acc145,BankC,BUSINESS,90922,35.68,139.69
acc146,BankW,PERSONAL,29183,52.52,13.4
acc147,BankE,PERSONAL,94212,51.51,-0.13
acc148,BankL,MERCHANT,68300,40.71,-74.01
acc149,BankV,PREPAID,35100,48.85,2.35
acc150,BankA,MERCHANT,60270,28.61,77.2
acc151,BankX,BUSINESS,13415,55.75,37.62
acc152,BankD,BUSINESS,16919,40.71,-74.01
acc153,BankB,BUSINESS,18133,51.51,-0.13
acc154,BankM,PREPAID,90952,34.05,-118.24
acc155,BankS,PREPAID,10828,40.71,-74.01
acc156,BankC,BUSINESS,85670,55.75,37.62
acc157,BankZ,BUSINESS,13055,52.52,13.4
acc158,BankD,PERSONAL,61423,40.71,-74.01
acc159,BankF,MERCHANT,95952,37.77,-122.42
acc160,BankP,PERSONAL,51165,37.77,-122.42
acc161,BankF,PREPAID,29143,48.85,2.35
acc162,BankI,PREPAID,59459,48.85,2.35
acc163,BankB,BUSINESS,85840,35.68,139.69
acc164,BankP,MERCHANT,73179,55.75,37.62
acc165,BankB,PERSONAL,37670,37.77,-122.42
acc166,BankE,MERCHANT,27143,28.61,77.2
acc167,BankH,PERSONAL,51134,52.52,13.4
acc168,BankP,MERCHANT,46093,-6.21,106.85
acc169,BankQ,PREPAID,51905,35.68,139.69
acc170,BankF,PERSONAL,42795,-6.21,106.85
acc171,BankH,PERSONAL,37822,40.71,-74.01
acc172,BankZ,MERCHANT,70393,52.52,13.4
acc173,BankY,BUSINESS,21922,34.05,-118.24
acc174,BankH,BUSINESS,35934,28.61,77.2
acc175,BankZ,PERSONAL,29758,-6.21,106.85
acc176,BankZ,MERCHANT,47504,48.85,2.35
acc177,BankF,BUSINESS,78662,52.52,13.4
acc178,BankZ,PREPAID,78537,40.71,-74.01
acc179,BankW,PREPAID,75403,-6.21,106.85
acc180,BankE,BUSINESS,65517,28.61,77.2
acc181,BankJ,BUSINESS,65282,40.71,-74.01
acc182,BankC,PERSONAL,31490,-6.21,106.85
acc183,BankH,PERSONAL,70002,55.75,37.62
acc184,BankA,PREPAID,81495,51.51,-0.13
acc185,BankZ,BUSINESS,45663,48.85,2.35
acc186,BankZ,PREPAID,8806,40.71,-74.01
acc187,BankE,BUSINESS,15538,28.61,77.2
acc188,BankL,PERSONAL,49967,37.77,-122.42
acc189,BankS,PERSONAL,45113,35.68,139.69
acc190,BankK,BUSINESS,21644,37.77,-122.42
acc191,BankZ,MERCHANT,86089,52.52,13.4
acc192,BankF,PREPAID,30260,-6.21,106.85
acc193,BankF,MERCHANT,41215,35.68,139.69
acc194,BankE,BUSINESS,96529,40.71,-74.01
acc195,BankW,MERCHANT,75381,40.71,-74.01
acc196,BankF,PREPAID,81134,51.51,-0.13
acc197,BankU,PERSONAL,66035,48.85,2.35
acc198,BankK,PERSONAL,32194,52.52,13.4
acc199,BankK,BUSINESS,84386,34.05,-118.24
acc200,BankW,PREPAID,59540,40.71,-74.01
acc201,BankI,BUSINESS,33707,34.05,-118.24
acc202,BankL,PREPAID,15160,40.71,-74.01
acc203,BankB,MERCHANT,58438,37.77,-122.42
acc204,BankF,MERCHANT,65629,37.77,-122.42
acc205,BankL,MERCHANT,14294,55.75,37.62
acc206,BankZ,BUSINESS,22319,55.75,37.62
acc207,BankC,PERSONAL,39654,40.71,-74.01
acc208,BankK,PREPAID,14726,34.05,-118.24
acc209,BankK,BUSINESS,50212,48.85,2.35
acc210,BankX,PERSONAL,72702,34.05,-118.24
acc211,BankK,MERCHANT,93340,40.71,-74.01
acc212,BankN,BUSINESS,80602,37.77,-122.42
acc213,BankF,PERSONAL,14272,52.52,13.4
acc214,BankG,BUSINESS,54645,28.61,77.2
acc215,BankX,PREPAID,87585,35.68,139.69
acc216,BankJ,BUSINESS,13571,40.71,-74.01
acc217,BankM,MERCHANT,21131,40.71,-74.01
acc218,BankL,PERSONAL,57047,34.05,-118.24
acc219,BankJ,MERCHANT,27171,34.05,-118.24
acc220,BankA,BUSINESS,23391,35.68,139.69
acc221,BankC,MERCHANT,16139,35.68,139.69
acc222,BankZ,MERCHANT,62727,55.75,37.62
acc223,BankV,PREPAID,12945,28.61,77.2
acc224,BankM,BUSINESS,49630,37.77,-122.42
acc225,BankL,BUSINESS,59428,40.71,-74.01
acc226,BankI,MERCHANT,61956,35.68,139.69
acc227,BankH,PREPAID,74956,40.71,-74.01
acc228,BankE,PERSONAL,12233,52.52,13.4
acc229,BankZ,MERCHANT,78296,51.51,-0.13
acc230,BankR,PERSONAL,51738,28.61,77.2
acc231,BankN,MERCHANT,76066,51.51,-0.13
acc232,BankP,PREPAID,11348,37.77,-122.42
acc233,BankW,PERSONAL,66811,-6.21,106.85
acc234,BankQ,BUSINESS,16765,55.75,37.62
acc235,BankF,BUSINESS,28772,51.51,-0.13
acc236,BankE,PERSONAL,56492,34.05,-118.24
acc237,BankV,MERCHANT,27465,48.85,2.35
acc238,BankT,PREPAID,42910,34.05,-118.24
acc239,BankC,MERCHANT,73923,37.77,-122.42
acc240,BankR,PREPAID,37202,28.61,77.2
acc241,BankO,PERSONAL,92804,-6.21,106.85
acc242,BankS,MERCHANT,15748,37.77,-122.42
acc243,BankE,BUSINESS,75264,-6.21,106.85
acc244,BankS,PERSONAL,14845,-6.21,106.85
acc245,BankY,PERSONAL,38498,28.61,77.2
acc246,BankL,MERCHANT,35620,37.77,-122.42
acc247,BankU,MERCHANT,75976,-6.21,106.85
acc248,BankP,PERSONAL,23570,35.68,139.69
acc249,BankM,BUSINESS,82034,-6.21,106.85
acc250,BankV,MERCHANT,6083,37.77,-122.42
acc251,BankK,BUSINESS,7460,55.75,37.62
acc252,BankI,PREPAID,3651,52.52,13.4
acc253,BankZ,PREPAID,41756,35.68,139.69
acc254,BankP,PERSONAL,30878,48.85,2.35
acc255,BankJ,MERCHANT,43056,35.68,139.69
acc256,BankX,MERCHANT,80295,34.05,-118.24
acc257,BankG,MERCHANT,28707,37.77,-122.42
acc258,BankX,MERCHANT,68698,52.52,13.4
acc259,BankB,BUSINESS,9600,35.68,139.69
acc260,BankW,MERCHANT,18779,28.61,77.2
acc261,BankS,PERSONAL,23772,51.51,-0.13
acc262,BankG,PERSONAL,33701,40.71,-74.01
acc263,BankO,PERSONAL,48235,51.51,-0.13
acc264,BankI,PREPAID,61846,28.61,77.2
acc265,BankM,PERSONAL,90282,40.71,-74.01
acc266,BankH,PREPAID,65066,-6.21,106.85
acc267,BankO,BUSINESS,63204,-6.21,106.85
acc268,BankR,PREPAID,46121,48.85,2.35
acc269,BankI,PERSONAL,38364,40.71,-74.01
acc270,BankM,PERSONAL,22352,-6.21,106.85
acc271,BankY,BUSINESS,30012,51.51,-0.13
acc272,BankV,BUSINESS,36269,37.77,-122.42
acc273,BankQ,PERSONAL,90417,40.71,-74.01
acc274,BankP,BUSINESS,85852,48.85,2.35
acc275,BankT,PERSONAL,30329,35.68,139.69
acc276,BankT,PREPAID,94420,35.68,139.69
acc277,BankN,MERCHANT,46706,55.75,37.62
acc278,BankI,BUSINESS,62171,35.68,139.69
acc279,BankV,MERCHANT,77609,34.05,-118.24
acc280,BankA,PREPAID,74591,-6.21,106.85
acc281,BankT,PREPAID,40121,34.05,-118.24
acc282,BankP,PERSONAL,45077,35.68,139.69
acc283,BankU,PREPAID,37291,35.68,139.69
acc284,BankU,PREPAID,25688,48.85,2.35
acc285,BankQ,BUSINESS,8441,-6.21,106.85
acc286,BankM,PREPAID,90228,48.85,2.35
acc287,BankX,PERSONAL,86904,55.75,37.62
acc288,BankJ,PREPAID,55862,37.77,-122.42
acc289,BankM,PERSONAL,77418,-6.21,106.85
acc290,BankG,PREPAID,96230,51.51,-0.13
acc291,BankV,MERCHANT,89063,52.52,13.4
acc292,BankQ,PREPAID,23280,28.61,77.2
acc293,BankF,PREPAID,13793,55.75,37.62
acc294,BankE,PREPAID,96051,28.61,77.2
acc295,BankY,BUSINESS,90091,52.52,13.4
acc296,BankU,PERSONAL,30131,52.52,13.4
acc297,BankH,PREPAID,56112,52.52,13.4
acc298,BankL,PREPAID,77751,35.68,139.69
acc299,BankO,PERSONAL,62674,40.71,-74.01
acc300,BankU,PERSONAL,62894,51.51,-0.13
acc301,BankQ,PERSONAL,90220,37.77,-122.42
acc302,BankQ,PREPAID,55146,40.71,-74.01
acc303,BankE,BUSINESS,27253,52.52,13.4
acc304,BankN,MERCHANT,19772,52.52,13.4
acc305,BankW,BUSINESS,11592,55.75,37.62
acc306,BankK,BUSINESS,42079,40.71,-74.01
acc307,BankA,MERCHANT,36851,51.51,-0.13
acc308,BankY,BUSINESS,76534,48.85,2.35
acc309,BankP,PERSONAL,17961,-6.21,106.85
acc310,BankN,MERCHANT,53873,37.77,-122.42
acc311,BankP,MERCHANT,1611,40.71,-74.01
acc312,BankR,BUSINESS,96768,52.52,13.4
acc313,BankA,PREPAID,70603,51.51,-0.13
acc314,BankA,PERSONAL,83141,51.51,-0.13
acc315,BankH,PREPAID,41906,48.85,2.35
acc316,BankD,MERCHANT,66973,-6.21,106.85
acc317,BankJ,BUSINESS,9557,40.71,-74.01
acc318,BankJ,PREPAID,60759,28.61,77.2
acc319,BankT,PREPAID,57841,48.85,2.35
acc320,BankK,MERCHANT,48087,51.51,-0.13
acc321,BankF,MERCHANT,3506,51.51,-0.13
acc322,BankH,BUSINESS,28681,40.71,-74.01
acc323,BankS,BUSINESS,17143,52.52,13.4
acc324,BankW,PERSONAL,50177,35.68,139.69
acc325,BankY,PERSONAL,78846,40.71,-74.01
acc326,BankV,PERSONAL,86664,40.71,-74.01
acc327,BankB,PERSONAL,55627,55.75,37.62
acc328,BankM,PERSONAL,72733,35.68,139.69
acc329,BankP,BUSINESS,27934,40.71,-74.01
acc330,BankJ,MERCHANT,87725,34.05,-118.24
acc331,BankV,PREPAID,82631,-6.21,106.85
acc332,BankW,BUSINESS,55896,34.05,-118.24
acc333,BankQ,PERSONAL,38054,34.05,-118.24
acc334,BankZ,PERSONAL,66239,51.51,-0.13
acc335,BankT,BUSINESS,35471,28.61,77.2
acc336,BankG,PREPAID,93200,37.77,-122.42
acc337,BankJ,BUSINESS,6164,28.61,77.2
acc338,BankP,BUSINESS,91204,55.75,37.62
acc339,BankK,BUSINESS,1358,40.71,-74.01
acc340,BankV,PERSONAL,15474,-6.21,106.85
acc341,BankV,MERCHANT,20548,34.05,-118.24
acc342,BankY,PERSONAL,95838,34.05,-118.24
acc343,BankI,BUSINESS,60867,35.68,139.69
acc344,BankI,MERCHANT,7564,34.05,-118.24
acc345,BankF,PERSONAL,39085,52.52,13.4
acc346,BankZ,PREPAID,56836,34.05,-118.24
acc347,BankD,PERSONAL,2267,48.85,2.35
acc348,BankV,BUSINESS,44078,52.52,13.4
acc349,BankO,PREPAID,97084,34.05,-118.24
acc350,BankL,PREPAID,24969,34.05,-118.24
acc351,BankM,MERCHANT,60839,35.68,139.69
acc352,BankM,MERCHANT,56278,48.85,2.35
acc353,BankD,BUSINESS,92248,40.71,-74.01
acc354,BankF,PERSONAL,55529,-6.21,106.85
acc355,BankP,MERCHANT,24758,-6.21,106.85
acc356,BankM,PREPAID,81131,40.71,-74.01
acc357,BankV,BUSINESS,64318,55.75,37.62
acc358,BankD,MERCHANT,58761,40.71,-74.01
acc359,BankC,PREPAID,86848,52.52,13.4
acc360,BankA,BUSINESS,88797,52.52,13.4
acc361,BankQ,PERSONAL,57734,51.51,-0.13
acc362,BankP,PREPAID,87993,37.77,-122.42
acc363,BankE,PERSONAL,2526,48.85,2.35
acc364,BankQ,MERCHANT,65990,48.85,2.35
acc365,BankC,MERCHANT,43026,51.51,-0.13
acc366,BankK,PREPAID,7599,28.61,77.2
acc367,BankH,MERCHANT,53858,51.51,-0.13
acc368,BankC,MERCHANT,59220,-6.21,106.85
acc369,BankO,PERSONAL,66333,55.75,37.62
acc370,BankK,PERSONAL,66191,40.71,-74.01
acc371,BankD,MERCHANT,55046,40.71,-74.01
acc372,BankR,PERSONAL,12913,-6.21,106.85
acc373,BankT,PREPAID,67628,28.61,77.2
acc374,BankG,MERCHANT,45676,52.52,13.4
acc375,BankB,BUSINESS,60566,52.52,13.4
acc376,BankR,MERCHANT,94933,52.52,13.4
acc377,BankW,MERCHANT,15945,34.05,-118.24
acc378,BankY,BUSINESS,1287,52.52,13.4
acc379,BankL,PREPAID,72786,28.61,77.2
acc380,BankL,PERSONAL,7000,48.85,2.35
acc381,BankP,BUSINESS,94959,37.77,-122.42
acc382,BankD,PREPAID,81065,51.51,-0.13
acc383,BankG,PERSONAL,52497,51.51,-0.13
acc384,BankO,BUSINESS,94950,52.52,13.4
acc385,BankD,MERCHANT,7094,-6.21,106.85
acc386,BankD,MERCHANT,60950,-6.21,106.85
acc387,BankQ,BUSINESS,66382,40.71,-74.01
acc388,BankQ,PERSONAL,73512,37.77,-122.42
acc389,BankS,MERCHANT,67628,48.85,2.35
acc390,BankW,BUSINESS,96747,48.85,2.35
acc391,BankD,MERCHANT,87182,-6.21,106.85
acc392,BankT,PREPAID,67074,37.77,-122.42
acc393,BankN,BUSINESS,36860,37.77,-122.42
acc394,BankK,PREPAID,60355,48.85,2.35
acc395,BankE,MERCHANT,79974,28.61,77.2
acc396,BankJ,PREPAID,94306,28.61,77.2
acc397,BankU,BUSINESS,27330,51.51,-0.13
acc398,BankT,PREPAID,90995,52.52,13.4
acc399,BankV,BUSINESS,94113,48.85,2.35
acc400,BankQ,PREPAID,94107,34.05,-118.24
acc401,BankY,PREPAID,74699,55.75,37.62
acc402,BankS,MERCHANT,89374,28.61,77.2
acc403,BankJ,MERCHANT,2673,28.61,77.2
acc404,BankD,PERSONAL,50921,48.85,2.35
acc405,BankB,PERSONAL,27201,35.68,139.69
acc406,BankY,BUSINESS,38567,35.68,139.69
acc407,BankE,PERSONAL,91517,35.68,139.69
acc408,BankG,PERSONAL,48013,55.75,37.62
acc409,BankD,BUSINESS,98309,28.61,77.2
acc410,BankM,BUSINESS,67967,35.68,139.69
acc411,BankW,PERSONAL,51014,37.77,-122.42
acc412,BankN,PREPAID,73368,40.71,-74.01
acc413,BankA,PREPAID,27619,-6.21,106.85
acc414,BankY,MERCHANT,30563,52.52,13.4
acc415,BankY,BUSINESS,96015,51.51,-0.13
acc416,BankJ,MERCHANT,24255,34.05,-118.24
acc417,BankF,BUSINESS,97348,28.61,77.2
acc418,BankD,MERCHANT,6326,37.77,-122.42
acc419,BankI,PREPAID,18048,48.85,2.35
acc420,BankS,PREPAID,1739,52.52,13.4
acc421,BankO,BUSINESS,6235,48.85,2.35
acc422,BankK,PERSONAL,82968,-6.21,106.85
acc423,BankV,PREPAID,65297,-6.21,106.85
acc424,BankR,PREPAID,10552,52.52,13.4
acc425,BankQ,BUSINESS,25100,28.61,77.2
acc426,BankC,BUSINESS,55516,28.61,77.2
acc427,BankR,MERCHANT,13051,52.52,13.4
acc428,BankH,BUSINESS,87944,52.52,13.4
acc429,BankK,PREPAID,39479,51.51,-0.13
acc430,BankY,MERCHANT,74575,40.71,-74.01
acc431,BankD,PREPAID,59414,51.51,-0.13
acc432,BankU,BUSINESS,6226,52.52,13.4
acc433,BankM,PERSONAL,51577,35.68,139.69
acc434,BankR,PREPAID,4238,28.61,77.2
acc435,BankY,PREPAID,68411,28.61,77.2
acc436,BankO,MERCHANT,6747,35.68,139.69
acc437,BankU,BUSINESS,42984,28.61,77.2
acc438,BankC,PERSONAL,22940,28.61,77.2
acc439,BankR,PERSONAL,83173,34.05,-118.24
acc440,BankG,BUSINESS,90837,37.77,-122.42
acc441,BankD,BUSINESS,71484,37.77,-122.42
acc442,BankU,PERSONAL,98896,48.85,2.35
acc443,BankA,MERCHANT,94961,52.52,13.4
acc444,BankB,PERSONAL,10600,40.71,-74.01
acc445,BankF,PREPAID,74149,34.05,-118.24
acc446,BankS,BUSINESS,34901,37.77,-122.42
acc447,BankM,MERCHANT,83603,37.77,-122.42
acc448,BankN,PREPAID,3213,37.77,-122.42
acc449,BankV,PERSONAL,71101,40.71,-74.01
acc450,BankU,PERSONAL,98773,-6.21,106.85
acc451,BankB,PERSONAL,47884,28.61,77.2
acc452,BankD,PREPAID,90899,35.68,139.69
acc453,BankT,PERSONAL,37899,55.75,37.62
acc454,BankM,MERCHANT,87602,40.71,-74.01
acc455,BankP,BUSINESS,70922,51.51,-0.13
acc456,BankE,MERCHANT,72529,35.68,139.69
acc457,BankU,BUSINESS,40066,52.52,13.4
acc458,BankA,BUSINESS,17152,40.71,-74.01
acc459,BankA,MERCHANT,71405,28.61,77.2
acc460,BankC,PREPAID,28532,52.52,13.4
acc461,BankG,MERCHANT,85663,28.61,77.2
acc462,BankE,BUSINESS,25116,51.51,-0.13
acc463,BankT,PREPAID,26470,34.05,-118.24
acc464,BankF,PERSONAL,99440,28.61,77.2
acc465,BankO,PERSONAL,39096,34.05,-118.24
acc466,BankI,PERSONAL,26875,-6.21,106.85
acc467,BankP,PREPAID,47810,48.85,2.35
acc468,BankV,BUSINESS,14113,35.68,139.69
acc469,BankT,PERSONAL,26362,52.52,13.4
acc470,BankP,MERCHANT,44036,-6.21,106.85
acc471,BankV,PREPAID,91892,-6.21,106.85
acc472,BankE,PREPAID,42462,37.77,-122.42
acc473,BankF,PERSONAL,42053,51.51,-0.13
acc474,BankZ,BUSINESS,94349,37.77,-122.42
acc475,BankI,PREPAID,18603,52.52,13.4
acc476,BankP,MERCHANT,59373,52.52,13.4
acc477,BankY,PREPAID,64828,28.61,77.2
acc478,BankD,BUSINESS,85613,-6.21,106.85
acc479,BankC,PREPAID,19350,28.61,77.2
acc480,BankG,PREPAID,97147,34.05,-118.24
acc481,BankX,PERSONAL,3441,28.61,77.2
acc482,BankU,PERSONAL,77269,-6.21,106.85
acc483,BankM,BUSINESS,5804,28.61,77.2
acc484,BankI,MERCHANT,86709,48.85,2.35
acc485,BankL,MERCHANT,30269,-6.21,106.85
acc486,BankX,PREPAID,18548,55.75,37.62
acc487,BankQ,PERSONAL,53007,52.52,13.4
acc488,BankQ,PERSONAL,87858,51.51,-0.13
acc489,BankZ,BUSINESS,68388,48.85,2.35
acc490,BankO,BUSINESS,24480,-6.21,106.85
acc491,BankS,BUSINESS,97458,55.75,37.62
acc492,BankL,PERSONAL,29681,55.75,37.62
acc493,BankH,PERSONAL,35649,52.52,13.4
acc494,BankH,PERSONAL,88632,51.51,-0.13
acc495,BankQ,PREPAID,51868,55.75,37.62
acc496,BankO,PERSONAL,6230,52.52,13.4
acc497,BankD,PREPAID,98243,35.68,139.69
acc498,BankS,BUSINESS,50369,37.77,-122.42
acc499,BankL,PERSONAL,68720,35.68,139.69
acc500,BankM,BUSINESS,68681,37.77,-122.42
acc501,BankL,PREPAID,64813,55.75,37.62
acc502,BankT,PERSONAL,66776,48.85,2.35
acc503,BankO,BUSINESS,31145,34.05,-118.24
acc504,BankQ,PREPAID,28723,48.85,2.35
acc505,BankF,BUSINESS,48477,-6.21,106.85
acc506,BankW,PERSONAL,87652,51.51,-0.13
acc507,BankN,PREPAID,95405,34.05,-118.24
acc508,BankP,MERCHANT,63786,51.51,-0.13
acc509,BankS,BUSINESS,85837,37.77,-122.42
acc510,BankA,BUSINESS,6655,48.85,2.35
acc511,BankS,BUSINESS,18658,28.61,77.2
acc512,BankB,BUSINESS,8328,48.85,2.35
acc513,BankI,BUSINESS,68717,37.77,-122.42
acc514,BankT,PERSONAL,95312,35.68,139.69
acc515,BankC,BUSINESS,59877,-6.21,106.85
acc516,BankP,MERCHANT,23356,51.51,-0.13
acc517,BankN,BUSINESS,77368,48.85,2.35
acc518,BankT,PREPAID,22983,52.52,13.4
acc519,BankO,PERSONAL,31122,37.77,-122.42
acc520,BankM,BUSINESS,15230,40.71,-74.01
acc521,BankG,MERCHANT,20603,-6.21,106.85
acc522,BankD,BUSINESS,63373,-6.21,106.85
acc523,BankT,PERSONAL,70655,28.61,77.2
acc524,BankY,PERSONAL,13214,55.75,37.62
acc525,BankV,BUSINESS,80098,28.61,77.2
acc526,BankA,MERCHANT,69425,37.77,-122.42
acc527,BankL,PERSONAL,92441,28.61,77.2
acc528,BankN,BUSINESS,64192,37.77,-122.42
